"";"txj";"vv";"lower_txj";"upper_txj";"lower_vv";"upper_vv"
"1";0,16343373681572;4939,49758797791;0,12525744456857;0,201956592510776;-35,1692677368958;8978,40482328246
"2";0,104618366024045;-48,3788322894211;0,0751972446743931;0,126350771901631;-3678,05626362392;2997,40219243115
"3";0,0743345945936749;-2435,04382673484;0,0453444570430474;0,0968265576761669;-5497,02892805018;502,537023117355
"4";0,05832502897125;-3527,95505492407;0,0331854144107095;0,0804911205047109;-6317,99884691856;-703,749009373017
"5";0,0494742509638988;-3979,31333944997;0,0268528169077711;0,0703317466670853;-6843,37890922058;-1280,2560257094
"6";0,0442304664377059;-4114,37928530087;0,0231091867905377;0,06476115395319;-6982,1822570821;-1317,1951186241
"7";0,0408200479984495;-4095,28991741234;0,0198415943800291;0,0615252288264726;-7067,36450787671;-1332,39758927165
"8";0,0383566604587261;-4002,79639094122;0,0174890355914946;0,0586943795240188;-7011,56663867384;-1301,16079388926
"9";0,0363967475819873;-3877,04759702687;0,0155419878311626;0,0561015432746338;-6735,7654116629;-1187,88936303723
"10";0,0347177354197575;-3737,93931207751;0,0135891123262398;0,0536779669162128;-6446,07258256621;-1054,31719180362
"11";0,0332073624491721;-3595,26737719286;0,0117363803748135;0,0513821729782579;-6154,22832761203;-930,991223206328
