"";"txj";"vv";"lower_txj";"upper_txj";"lower_vv";"upper_vv"
"1";0,16343373681572;4939,49758797791;0,125566963776942;0,211128527984918;485,588484271311;10380,8165998625
"2";0,104618366024045;-48,3788322894211;0,0728373536229286;0,13253740335725;-3245,97332977447;3446,72441539644
"3";0,0743345945936749;-2435,04382673484;0,0411176927670324;0,100825334936715;-4878,42191541652;1327,94448582918
"4";0,05832502897125;-3527,95505492407;0,0285929403555492;0,0800720887895318;-5622,77065632005;13,0721722657826
"5";0,0494742509638988;-3979,31333944997;0,0215014751341186;0,0661686240204945;-5772,17903898948;-605,128780403625
"6";0,0442304664377059;-4114,37928530087;0,017539474970285;0,0597394152950485;-5817,40239753728;-760,922862183624
"7";0,0408200479984495;-4095,28991741234;0,0139228394182068;0,0562749091855623;-5738,82626358231;-761,074563310688
"8";0,0383566604587261;-4002,79639094122;0,0113699284490691;0,053732679509593;-5603,51022377108;-710,220570796592
"9";0,0363967475819873;-3877,04759702687;0,00952591069893228;0,051596288501977;-5445,30871661688;-640,669523354879
"10";0,0347177354197575;-3737,93931207751;0,00800296278791319;0,0497334354101756;-5279,66705727045;-570,887577683748
"11";0,0332073624491721;-3595,26737719286;0,00674128962426664;0,0485677028900153;-5113,59590096936;-551,684600364866
